spA	spB	species_status_NG	popphyl	taxonomy1	taxonomy2	habitat	propagule_size	longevity	sxA_avg	sxA_std	sxB_avg	sxB_std	ss_avg	ss_std	Wald_avg	Wald_std	piA_avg	piA_std	piB_avg	piB_std	thetaA_avg	thetaA_std	thetaB_avg	thetaB_std	DtajA_avg	DtajA_std	DtajB_avg	DtajB_std	divAB_avg	divAB_std	netdivAB_avg	netdivAB_std	FST_avg	FST_std	corr_pi	pSIv1_Mhetero_Nhetero	pSIv2_Mhetero_Nhetero	pIMHomov1_Mhetero_Nhetero	pIMHomov2_Mhetero_Nhetero	pIMHeterov1_Mhetero_Nhetero	pIMHeterov2_Mhetero_Nhetero	pAMHomov1_Mhetero_Nhetero	pAMHomov2_Mhetero_Nhetero	pAMHeterov1_Mhetero_Nhetero	pAMHeterov2_Mhetero_Nhetero	pSCHomov1_Mhetero_Nhetero	pSCHomov2_Mhetero_Nhetero	pSCHeterov1_Mhetero_Nhetero	pSCHeterov2_Mhetero_Nhetero	pPanmixiav1_Mhetero_Nhetero	pPanmixiav2_Mhetero_Nhetero	Pongoing_migration_Mhetero_Nhetero	pSIv1_Mhetero_Nhomo	pIMHomov1_Mhetero_Nhomo	pIMHeterov1_Mhetero_Nhomo	pAMHomov1_Mhetero_Nhomo	pAMHeterov1_Mhetero_Nhomo	pSCHomov1_Mhetero_Nhomo	pSCHeterov1_Mhetero_Nhomo	pPanmixiav1_Mhetero_Nhomo	Pongoing_migration_Mhetero_Nhomo	pSIv1_Mhomo_Nhetero	pSIv2_Mhomo_Nhetero	pIMHomov1_Mhomo_Nhetero	pIMHomov2_Mhomo_Nhetero	pAMHomov1_Mhomo_Nhetero	pAMHomov2_Mhomo_Nhetero	pSCHomov1_Mhomo_Nhetero	pSCHomov2_Mhomo_Nhetero	pPanmixiav1_Mhomo_Nhetero	pPanmixiav2_Mhomo_Nhetero	Pongoing_migration_Mhomo_Nhetero	pSIv1_Mhomo_Nhomo	pIMHomov1_Mhomo_Nhomo	pAMHomov1_Mhomo_Nhomo	pSCHomov1_Mhomo_Nhomo	pPanmixiav1_Mhomo_Nhomo	Pongoing_migration_Mhomo_Nhomo
Artemia_franciscanaCH	Artemia_franciscanaAMN	0	1	invertebrate	crustacea	continental	0.051	4	1.179	1.266	1.9	1.66	0.463	0.859	-9	0	0.010751	0.011851	0.015573	0.014295	0.010516	0.011644	0.015458	0.013952	0.184014	0.953617	0.079905	0.930966	0.019066	0.013996	0.005904	0.010173	0.186131	0.217033	0.086395	0.02349	0.00212	0.01972	0.0016	0.28277	0.01698	0.41003	0.00641	0.0481	0.00583	0.0066	0.00101	0.16291	0.01189	0.00008	0.00046	0.50402	0.05933	0.01558	0.17438	0.45845	0.11762	0.01095	0.16366	0.00003	0.3646	0.02539	0.0051	0.02429	0.006	0.88399	0.01568	0.01078	0.02863	0.00008	0.00008	0.06986	0.24156	0.37648	0.35835	0.02341	0.0002	0.40009
Artemia_franciscanaFR	Artemia_franciscanaAMN	0	1	invertebrate	crustacea	continental	0.051	4	0.734	1.112	1.961	1.621	0.348	0.759	-8.975	0.575	0.009006	0.014468	0.018582	0.017084	0.00905	0.014568	0.018409	0.016419	-0.016382	0.749631	0.063046	0.947426	0.021686	0.017274	0.007892	0.012788	0.222738	0.252506	0.106743	0.01613	0.00649	0.02605	0.00689	0.27156	0.10459	0.25186	0.02583	0.0238	0.01582	0.01322	0.00574	0.16208	0.06962	0.00016	0.00016	0.66007	0.02595	0.02744	0.28821	0.32407	0.08672	0.02031	0.22719	0.0001	0.56325	0.00471	0.07358	0.02051	0.01615	0.60287	0.23298	0.0235	0.02523	0.00023	0.00023	0.08585	0.10674	0.06978	0.64383	0.17943	0.00022	0.24943
Artemia_franciscanaFR	Artemia_franciscanaCH	0	1	invertebrate	crustacea	continental	0.051	4	0.96	1.336	1.503	1.432	0.246	0.592	-9	0	0.009766	0.014711	0.013576	0.013295	0.009817	0.014755	0.013329	0.013071	-0.022675	0.780637	0.173142	0.993463	0.021756	0.018492	0.010086	0.0159	0.292286	0.277628	0.050106	0.00461	0.00117	0.01338	0.00485	0.48091	0.10386	0.03522	0.00621	0.00641	0.00424	0.0086	0.00401	0.26266	0.06382	0	0.00006	0.94215	0.01015	0.01342	0.40616	0.18234	0.06736	0.0129	0.30765	0	0.74013	0.02856	0.05652	0.18382	0.03798	0.27329	0.03718	0.34958	0.03168	0.0007	0.0007	0.60446	0.24754	0.14491	0.3548	0.25158	0.00117	0.39766
Caenorhabditis_brenneri	Caenorhabditis_sp10	1	1	invertebrate	nematoda	continental	0.0052	0.16	5.926	8.066	8.492	8.84	0.656	1.291	13.795	18.523	0.035724	0.030575	0.051199	0.042608	0.035882	0.030769	0.051347	0.041699	0.03433	0.880146	-0.120132	0.652609	0.348361	0.149897	0.3049	0.147164	0.785366	0.146037	0.562685	0.10055	0.22099	0.00012	0.00003	0.00581	0.00343	0.13694	0.08658	0.24901	0.13499	0.01452	0.00086	0.03352	0.0126	0.00003	0.00003	0.07095	0.22987	0.00025	0.01646	0.23392	0.49538	0.00015	0.02395	0.00001	0.04082	0.04043	0.82483	0.00009	0.00009	0.03591	0.09831	0.00009	0.00009	0.00009	0.00009	0.00054	0.16064	0.0001	0.83905	0.0001	0.0001	0.0003
Caenorhabditis_brenneriIND	Caenorhabditis_brenneriGUY	0	1	invertebrate	nematoda	continental	0.0052	0.16	3.817	4.511	4.521	4.595	2.803	4.262	-9	0	0.033128	0.032995	0.04035	0.033809	0.033038	0.032528	0.040918	0.033561	-0.053759	0.691467	-0.24014	0.713973	0.042786	0.033944	0.006047	0.011845	0.069305	0.119064	0.702906	0.00142	0.07078	0.00055	0.02284	0.00964	0.38581	0.00105	0.13472	0.00183	0.11381	0.00038	0.01458	0.00748	0.23398	0.00027	0.00085	0.67638	0.0431	0.01464	0.45852	0.06935	0.08598	0.00939	0.31734	0.00167	0.80156	0.01297	0.30942	0.00375	0.102	0.00557	0.45983	0.00278	0.10071	0.00027	0.0027	0.21221	0.5288	0.05259	0.34489	0.07284	0.00088	0.12631
Camponotus_ligniperdus	Camponotus_aethiops	1	1	invertebrate	insecta	continental	1.65	26	0.441	1.237	0.821	1.748	0.014	0.227	-8.171	3.995	0.001764	0.005514	0.003115	0.008293	0.001706	0.005232	0.003022	0.007512	0.040123	0.535348	-0.006173	0.612976	0.086882	0.070596	0.084442	0.070135	0.951596	0.086911	0.377081	0.0086	0.087	0.00001	0.00001	0.00003	0.00041	0.04911	0.48762	0.03624	0.33046	0.00001	0.00001	0.00003	0.00047	0	0	0.00098	0.00445	0.00001	0.00086	0.5202	0.47339	0.00002	0.00107	0	0.00196	0.09772	0.18737	0.00033	0.00033	0.58205	0.12999	0.00033	0.0012	0.00033	0.00033	0.00285	0.01153	0.00005	0.98809	0.00027	0.00005	0.00037
cioneA	cioneB	1	1	invertebrate	urochordata	marine	0.016	3	2.5669014085	2.1958155429	10.903756	7.853245	0.482394	0.840189	1.300469	10.743844	0.014273	0.012205	0.049344	0.030496	0.014319	0.01084	0.05401	0.031301	-0.018047	0.853093	-0.313438	0.66235	0.17622	0.075427	0.144412	0.072156	0.686663	0.155286	0.294371	0.02608	0.05301	0.00001	0.00001	0.00346	0.00857	0.04087	0.2406	0.0407	0.46299	0.00022	0.00066	0.07172	0.0511	0.00001	0.00001	0.13577	0.08677	0.00001	0.00002	0.02883	0.02575	0.03056	0.82804	0.00001	0.85864	0.84084	0.00429	0.00013	0.00013	0.08467	0.0664	0.00013	0.00315	0.00013	0.00013	0.0038	0.97247	0.00003	0.02743	0.00003	0.00003	0.00009
CioneB_france	CioneB_canada	0	1	invertebrate	urochordata	marine	0.016	3	1.886	2.09	1.776	2.096	1.689	1.945	-9	0	0.030262	0.025984	0.029131	0.025969	0.030478	0.026043	0.029161	0.026193	-0.060682	0.719229	0.011609	0.774828	0.031701	0.025419	0.002004	0.007633	0.034678	0.142174	0.696532	0.00002	0.00888	0.00098	0.30984	0.00103	0.30369	0.00004	0.0336	0.00004	0.01364	0.00083	0.15693	0.00079	0.16666	0.00048	0.00258	0.94381	0.00737	0.01184	0.5993	0.00726	0.0183	0.00961	0.34092	0.00539	0.96706	0.00037	0.03014	0.00233	0.44417	0.00016	0.11842	0.00156	0.40254	0.00016	0.00016	0.85092	0.01391	0.49382	0.13495	0.35697	0.00034	0.85113
Crepidula_fornicata	Crepidula_plana	1	1	invertebrate	mollusca	marine	0.0511	10	3.0891632373	3.7367355864	3.854595	4.879395	0.113855	0.415282	4.876543	15.268337	0.017648	0.017366	0.022056	0.021358	0.01807	0.017326	0.022132	0.0211	-0.1973	0.609148	-0.065285	0.70276	0.329355	0.108352	0.309503	0.107301	0.895151	0.08384	0.138305	0.27009	0.11111	0.00001	0.00001	0.0003	0.00023	0.18646	0.06625	0.26193	0.10152	0.00002	0.00003	0.00133	0.00071	0.00001	0.00001	0.00266	0.62917	0	0.00087	0.13217	0.23366	0.00028	0.00384	0	0.00499	0.226	0.4142	0.00025	0.00025	0.11639	0.24193	0.00025	0.00025	0.00025	0.00025	0.0015	0.9287	0.00003	0.07122	0.00003	0.00003	0.00009
Culex_pipiensTRO	Culex_pipiensMED	0.5	1	invertebrate	insecta	continental	0.08	0.205	3.123	3.592	6.458	6.688	0.348	0.751	-6.314	6.999	0.018055	0.016667	0.035336	0.0233	0.01814	0.016759	0.035692	0.023745	-0.010392	0.833591	-0.044838	0.748225	0.054264	0.027454	0.027568	0.021144	0.360649	0.230804	0.249066	0.00127	0.00925	0.00001	0.00003	0.00019	0.00216	0.02341	0.69891	0.01218	0.24985	0.00003	0.00004	0.00033	0.00234	0	0	0.00513	0.06433	0.00015	0.00656	0.53145	0.39217	0.00013	0.00522	0	0.01206	0.00141	0.02566	0.00005	0.00005	0.02061	0.95204	0.00005	0.00005	0.00005	0.00005	0.0003	0.04953	0.00004	0.94795	0.00245	0.00004	0.00253
Culex_pipiensTRO	Culex_torrentium	1	1	invertebrate	insecta	continental	0.08	0.205	2.07	2.338	1.781	1.894	0.053	0.224	-5.656	7.392	0.017323	0.017115	0.015126	0.015292	0.017443	0.017246	0.01537	0.01544	-0.012128	0.803607	-0.077524	0.738165	0.105497	0.096127	0.089273	0.096259	0.698634	0.215464	0.126969	0.0205	0.04974	0.00002	0.00021	0.06403	0.03405	0.23006	0.0398	0.38534	0.10849	0.00039	0.00036	0.0363	0.03068	0.00002	0.00002	0.16608	0.00562	0.00003	0.03839	0.22711	0.70881	0.00019	0.01984	0.00001	0.05846	0.00929	0.09885	0.00023	0.00023	0.76158	0.12892	0.00023	0.00023	0.00023	0.00023	0.00138	0.0039	0.00002	0.99594	0.00011	0.00002	0.00015
Cystodytes_dellechiajei_purple	Cystodytes_dellechiajei_blue	0	1	invertebrate	urochordata	marine	0.1	NA	2.3763239875	2.8937744207	5.322118	4.379044	0.239875	0.677237	-7.089512	5.607588	0.016875	0.018055	0.038534	0.022981	0.01654	0.017372	0.034921	0.021432	0.091174	0.870135	1.024626	0.916849	0.069291	0.079272	0.041587	0.078581	0.407444	0.216979	0.144891	0.07501	0.00288	0.01251	0.00001	0.00056	0.00166	0.57187	0.01794	0.30583	0.00993	0.00001	0.00003	0.00043	0.00134	0	0	0.01655	0.00404	0.00025	0.04452	0.14459	0.76219	0.00037	0.04406	0	0.0892	0.02182	0.01017	0.00013	0.00013	0.93502	0.03119	0.00112	0.00013	0.00013	0.00013	0.00177	0.0973	0.00011	0.89382	0.00866	0.00011	0.00888
Echinocardium_mediterraneum	Echinocardium_cordatum_B2	1	1	invertebrate	echinodermata	marine	0.0075	10	2.5214577657	2.7326437368	6.536104	6.417081	0.218324	0.565642	5.889986	13.10814	0.021574	0.021298	0.051085	0.035116	0.021886	0.021449	0.051786	0.035089	-0.101824	0.736112	-0.153458	0.622509	0.281881	0.126707	0.245551	0.12689	0.779806	0.135861	0.188163	0.0229	0.03722	0	0	0.00016	0.00012	0.42496	0.0326	0.44127	0.03502	0.00003	0.00418	0.00052	0.00102	0	0	0.00603	0.02592	0	0.00127	0.30816	0.66151	0.0001	0.00305	0	0.00442	0.16895	0.02499	0.00008	0.00008	0.78697	0.01859	0.00008	0.00008	0.00008	0.00008	0.00048	0.01233	0.00003	0.98758	0.00003	0.00003	0.00009
Echinocardium_mediterraneumEST	Echinocardium_mediterraneumWES	0	1	invertebrate	echinodermata	marine	0.0075	10	1.767	1.876	1.708	1.923	1.708	1.978	-9	0	0.027403	0.020468	0.026941	0.021215	0.027824	0.020528	0.027143	0.020825	-0.148317	0.771149	-0.118635	0.771675	0.027461	0.017701	0.00029	0.007297	0.007596	0.122338	0.497573	0.03165	0.00154	0.25655	0.11612	0.10257	0.01711	0.06222	0.00479	0.04113	0.00119	0.16942	0.0922	0.07353	0.01197	0.01491	0.00311	0.85749	0.04997	0.29594	0.14626	0.10766	0.06835	0.20023	0.10995	0.02163	0.77401	0.05243	0.00267	0.28603	0.07164	0.20147	0.00097	0.301	0.07491	0.00715	0.00173	0.74246	0.02841	0.41248	0.09887	0.45348	0.00676	0.87272
Emys_orbicularis	Trachemys_scripta	1	1	vertebrate	sauropsida	continental	2.7	80.6	0.772815534	1.0608155382	1.891262	2.174271	0.015534	0.123784	-8.066019	3.97114	0.004691	0.006488	0.011359	0.01338	0.004535	0.006229	0.011203	0.012486	0.147429	0.780291	-0.018603	0.741778	0.04854	0.070039	0.040515	0.070203	0.685713	0.247126	-0.0234	0.00857	0.01395	0.00005	0.00001	0.00391	0.00072	0.45652	0.13282	0.32647	0.05284	0.00005	0.00002	0.00322	0.00085	0	0	0.00883	0.00147	0.00012	0.01189	0.49033	0.48419	0.00015	0.01185	0	0.02401	0.00061	0.05387	0.00014	0.00014	0.02231	0.92238	0.00014	0.00014	0.00014	0.00014	0.00084	0.02558	0.00002	0.97435	0.00002	0.00002	0.00006
Emys_orbicularisEUE	Emys_orbicularisEUW	0	1	vertebrate	sauropsida	continental	2	120	0.796	0.937	1.531	1.24	0.204	0.503	-9	0	0.005862	0.007586	0.010129	0.008089	0.005799	0.007427	0.009671	0.007423	0.038391	0.773894	0.315663	1.041446	0.013206	0.008996	0.005211	0.007121	0.253984	0.247322	-0.019755	0.01045	0.00849	0.02557	0.00989	0.18144	0.13377	0.25469	0.05756	0.0369	0.02362	0.01581	0.00653	0.13557	0.09796	0.0009	0.00085	0.60829	0.01049	0.03863	0.36939	0.23286	0.06045	0.02732	0.2608	0.00007	0.69621	0.00653	0.06535	0.07998	0.07911	0.42446	0.20698	0.02662	0.09919	0.00048	0.0113	0.29668	0.01906	0.15287	0.79589	0.03195	0.00022	0.18504
Eudyptes_filholi	Eudyptes_moseleyi	0.5	1	vertebrate	sauropsida	continental	55	29	1.838	1.778	1.139	1.374	0.692	2.216	-8.921	0.978	0.010371	0.011945	0.007969	0.012612	0.010575	0.012729	0.008127	0.013426	-0.079971	0.765315	0.02278	0.844828	0.015618	0.022033	0.006448	0.021312	0.228846	0.260083	0.638131	0.0001	0.00398	0.00097	0.02325	0.0066	0.46616	0.00176	0.06213	0.00035	0.02888	0.00116	0.02149	0.00918	0.37396	0.00001	0.00001	0.90279	0.00035	0.00877	0.47311	0.01941	0.01101	0.01077	0.47658	0	0.96923	0.0003	0.27272	0.06171	0.18573	0.01768	0.36243	0.04234	0.05648	0.0003	0.0003	0.34686	0.02431	0.17587	0.64113	0.14656	0.01214	0.33457
Eudyptes_moseleyi	Aptenodytes_patagonicus	1	1	vertebrate	sauropsida	continental	72.5	35	1.019	2.687	0.759	1.139	0.008	0.089	-7.958	4.33	0.004525	0.009829	0.003111	0.004939	0.004606	0.010391	0.003158	0.00496	0.002721	0.664353	-0.05663	0.578145	0.057938	0.108215	0.05412	0.108178	0.854153	0.170059	-0.033242	0.00223	0.01816	0.00086	0.00012	0.01676	0.01336	0.42006	0.1462	0.24883	0.08865	0.00016	0.00009	0.02223	0.02219	0.00008	0.00001	0.07586	0.00507	0.00026	0.00349	0.69401	0.2922	0.0001	0.00486	0	0.00871	0.02988	0.0737	0.00529	0.0003	0.75329	0.13636	0.0003	0.0003	0.0003	0.0003	0.00679	0.02858	0.04355	0.92303	0.00469	0.00015	0.04839
Eunicella_cavolinii	Eunicella_verrucosa	1	1	invertebrate	cnidaria	marine	0.25	100	1.194	1.215	1.78	1.586	0.218	0.538	-8.965	0.817	0.011322	0.011307	0.01597	0.013792	0.011468	0.011388	0.016206	0.013962	-0.058481	0.788031	-0.085874	0.762101	0.034817	0.073962	0.021171	0.074253	0.349497	0.291299	0.03706	0.00058	0.00445	0.001	0.00082	0.18551	0.02214	0.16514	0.04698	0.03001	0.01408	0.0031	0.00348	0.47877	0.04392	0	0	0.73874	0.00127	0.00571	0.39883	0.01721	0.01073	0.01037	0.55584	0.00004	0.97079	0.01807	0.06166	0.02597	0.00166	0.70117	0.14592	0.01162	0.03346	0.00023	0.00023	0.07317	0.04048	0.16061	0.61776	0.18047	0.00068	0.34176
Gorilla_eastern	gorilla_western	1	0	vertebrate	mammalia	continental	NA	NA	1	1.528	4.077	2.499	0.538	0.877	-9	0	0.00094	0.001146	0.001456	0.000948	0.000846	0.000914	0.001424	0.000738	0.081298	0.970329	0.037812	0.965635	0.002025	0.001328	0.000827	0.001098	0.165992	0.409193	-0.472927	0.00021	0.0014	0.05852	0.3569	0.02089	0.08411	0.00165	0.00453	0.0006	0.0025	0.05318	0.3216	0.01687	0.0743	0.00059	0.00216	0.98912	0.003	0.43376	0.06097	0.01004	0.00275	0.42933	0.0593	0.00085	0.98421	0.00018	0.00305	0.03937	0.45502	0.00018	0.00997	0.00211	0.48834	0.00056	0.00121	0.98661	0.00085	0.78839	0.03538	0.17008	0.0053	0.96377
Hippocampus_guttulatusCRO	Hippocampus_guttulatusTHA	0	1	vertebrate	teleostei	marine	1.2	7	0.644	0.815	0.933	0.857	0.793	0.955	-9	0	0.005567	0.005565	0.006729	0.005217	0.005484	0.005325	0.00689	0.005321	0.036674	0.918169	-0.153202	0.819904	0.006839	0.004658	0.000691	0.003174	0.056988	0.182581	0.247516	0.0005	0.00005	0.42309	0.01865	0.00573	0.00122	0.00179	0.00012	0.00017	0.00006	0.30366	0.01674	0.00498	0.00106	0.21597	0.0062	0.9973	0.00062	0.40602	0.00454	0.00205	0.00026	0.30378	0.00463	0.2781	0.99707	0.00008	0.00008	0.21349	0.10564	0.00008	0.0279	0.54302	0.10744	0.00113	0.00112	0.97184	0.0001	0.28715	0.00032	0.60206	0.11037	0.99958
Hippocampus_guttulatusPOR	Hippocampus_guttulatusCRO	0	1	vertebrate	teleostei	marine	1.2	7	1.516	1.663	0.537	0.79	0.691	1.019	-9	0	0.008977	0.008728	0.004551	0.005644	0.009268	0.009263	0.004453	0.005249	-0.115019	0.864062	0.066445	0.851114	0.010845	0.010989	0.004081	0.007997	0.149524	0.238004	-0.209127	0.00003	0.00025	0.47111	0.03017	0.04423	0.00684	0.00144	0.00058	0.00013	0.00043	0.33695	0.03006	0.03295	0.00572	0.02658	0.01254	0.99715	0.00001	0.46156	0.06779	0.00059	0.00004	0.41044	0.05621	0.00335	0.99935	0.03689	0.02321	0.11848	0.09887	0.04562	0.01784	0.50288	0.15569	0.00026	0.00026	0.87644	0.00198	0.21262	0.01325	0.74706	0.0251	0.98478
Hippocampus_guttulatusPOR	Hippocampus_guttulatusTHA	0	1	vertebrate	teleostei	marine	1.2	7	1.291	1.752	0.641	0.814	0.692	0.995	-9	0	0.009758	0.010413	0.006492	0.007437	0.009936	0.010979	0.006573	0.007653	0.008447	0.915987	-0.076318	0.723485	0.011936	0.012377	0.00381	0.009031	0.127429	0.234983	0.055974	0.00002	0.00011	0.38463	0.15519	0.0181	0.01171	0.00033	0.00038	0.00004	0.00019	0.27682	0.12643	0.01489	0.00973	0.00105	0.00039	0.99894	0.00004	0.49478	0.04846	0.00084	0.00006	0.39559	0.04332	0.01691	0.99906	0.00014	0.00267	0.37897	0.24585	0.00161	0.01014	0.12863	0.2317	0.00014	0.00014	0.98543	0.00047	0.59178	0.02435	0.35283	0.03057	0.97518
Hippocampus_hippocampus	Hippocampus_guttulatusTHA	1	1	vertebrate	teleostei	marine	1.2	7	0.889	1.113	0.276	0.619	0.004	0.061	-8.676	2.295	0.004818	0.006523	0.001534	0.003844	0.004912	0.006544	0.001565	0.003965	-0.097598	0.59199	-0.018604	0.435603	0.050298	0.082988	0.047122	0.083145	0.856305	0.168972	-0.044277	0.00199	0.04206	0.00004	0.00003	0.00915	0.00838	0.33532	0.17195	0.27903	0.13266	0.00009	0.00015	0.00727	0.01184	0.00002	0.00002	0.03699	0.00341	0.00022	0.0064	0.66311	0.3165	0.00042	0.00994	0	0.01698	0.00018	0.09611	0.00018	0.00018	0.46556	0.43705	0.00018	0.00018	0.00019	0.00018	0.00109	0.00237	0.00016	0.97717	0.02015	0.00016	0.02047
Lepus_granatensisESP	Lepus_granatensisPOR	0	1	vertebrate	mammalia	continental	31.6	18	1.205	1.379	1.222	1.509	1.483	1.642	-9	0	0.010127	0.008964	0.010294	0.008764	0.009997	0.008415	0.010377	0.008965	0.029202	0.872054	-0.046219	0.802569	0.010331	0.008217	0.00012	0.003066	0.00099	0.12129	0.588558	0.00249	0.00047	0.05712	0.01097	0.00193	0.00048	0.00192	0.00036	0.00422	0.00068	0.04548	0.00835	0.00204	0.00042	0.76589	0.09717	0.98985	0.0022	0.05124	0.0016	0.00156	0.003	0.04098	0.00159	0.89781	0.99322	0.0002	0.00019	0.2458	0.02347	0.00489	0.0002	0.11147	0.02288	0.47896	0.11195	0.99453	0.00117	0.25287	0.00264	0.0953	0.64802	0.99619
Lineus_longissimus	Lineus_lacteus	1	1	invertebrate	nemertea	marine	0.02	NA	3.6459309757	5.0475475227	4.054964	6.274072	0.126118	0.459191	5.731572	17.822619	0.018754	0.018515	0.019338	0.020615	0.01893	0.01854	0.019367	0.020267	-0.08461	0.664714	-0.064268	0.68226	0.327674	0.10407	0.308628	0.101763	0.901713	0.073299	0.18294	0.0243	0.10382	0	0	0.00007	0.00018	0.0731	0.28159	0.10982	0.40622	0.00001	0.00003	0.00018	0.00068	0	0	0.00115	0.5221	0	0.00078	0.19095	0.28199	0.00027	0.00391	0	0.00496	0.01264	0.28529	0.0001	0.0001	0.01459	0.68687	0.0001	0.0001	0.0001	0.0001	0.0006	0.83947	0.00004	0.16039	0.00004	0.00004	0.00012
lissotriton_vulgaris_kosswigi	lissotriton_vulgaris_vulgaris	0.5	0	vertebrate	amphibia	continental	NA	NA	10.429	7.678	15	8.851	1.571	3.309	-0.143	11.697	0.010511	0.005786	0.009503	0.00563	0.010597	0.005507	0.010801	0.004273	-0.080797	0.875346	-0.681911	1.187309	0.030823	0.011306	0.020816	0.010768	0.478079	0.183474	0.721443	0.00092	0.02499	0.00094	0.00333	0.03997	0.21025	0.04846	0.27076	0.02339	0.17583	0.00096	0.00359	0.03045	0.16612	0.00002	0.00003	0.45566	0.0084	0.00402	0.38278	0.20394	0.10101	0.00431	0.29554	0.00001	0.68666	0.00026	0.06114	0.00136	0.00081	0.39005	0.53693	0.00096	0.00798	0.00026	0.00026	0.01163	0.00169	0.00265	0.97427	0.02123	0.00016	0.02404
Lutzomyia_intermedia	Lutzomyia_whitmani	1	0	invertebrate	insecta	continental	NA	NA	4.5	3.472	4.6	3.921	1.8	3.393	-9	0	0.017102	0.009985	0.019389	0.018231	0.024547	0.013701	0.027042	0.015695	-0.874147	0.754441	-0.948066	0.719965	0.031369	0.021605	0.013124	0.011826	0.188057	0.243091	0.778707	0.05629	0.12529	0.00005	0.0001	0.01085	0.03357	0.09174	0.24996	0.10288	0.26187	0.00068	0.00046	0.01852	0.04772	0.00001	0.00001	0.11197	0.18682	0.00015	0.07353	0.31165	0.31334	0.00129	0.1132	0.00001	0.18818	0.11998	0.16077	0.00026	0.00039	0.31338	0.40375	0.00026	0.00071	0.00026	0.00026	0.00214	0.23906	0.00023	0.75688	0.0036	0.00023	0.00406
macaca_mulatta	macaca_fascicularis	1	0	vertebrate	mammalia	continental	31.1	40	6.438	7.402	11.062	11.162	7.875	13.129	-9	0	0.009226	0.013232	0.012174	0.014468	0.008989	0.012562	0.011491	0.013525	0.28682	0.99234	0.079505	0.933926	0.012718	0.013949	0.002019	0.001796	0.141453	0.177979	0.947686	0	0.00615	0	0.00614	0.00005	0.48447	0.00001	0.11232	0.00001	0.0457	0	0.00442	0.0001	0.34064	0	0	0.83582	0.00075	0.00676	0.3187	0.02517	0.01411	0.01621	0.61801	0.00029	0.95997	0.00011	0.00819	0.00011	0.04794	0.00011	0.8797	0.00011	0.06292	0.00011	0.00069	0.11188	0.00049	0.13444	0.14914	0.71314	0.0028	0.85038
malurus_melanocephalus_TE	malurus_melanocephalus_CY	0	0	vertebrate	sauropsida	continental	NA	NA	5.618	4.716	17.735	10.737	9.382	7.418	-9	0	0.011902	0.006917	0.012176	0.007274	0.013072	0.007332	0.016494	0.008565	-0.418618	0.762176	-0.877259	0.896928	0.01279	0.006541	0.000751	0.001428	0.025396	0.127927	0.766507	0	0.00038	0	0.00167	0.00021	0.51226	0.00001	0.04276	0.00002	0.05498	0	0.00197	0.00019	0.38555	0	0	0.90185	0.00069	0.00108	0.25747	0.01905	0.0324	0.00454	0.68442	0.00034	0.94785	0.00022	0.00049	0.00008	0.02373	0.00117	0.91857	0.00022	0.05541	0.00006	0.00006	0.07956	0.03676	0.0497	0.52955	0.38326	0.00073	0.43369
Melitaea_cinxia	Mellicta_athalia	1	1	invertebrate	insecta	continental	0.06	1	2.546	3.256	3.813	4.167	0.115	0.35	-1.049	10.45	0.018177	0.01745	0.026294	0.021508	0.018272	0.01739	0.02653	0.021491	-0.035792	0.74576	-0.072835	0.757356	0.138161	0.077777	0.115925	0.075997	0.739986	0.161594	0.238537	0.00562	0.00428	0	0	0.00001	0.00002	0.41362	0.26364	0.23875	0.07377	0.00022	0	0.00002	0.00004	0	0	0.00031	0.00542	0	0.00049	0.53661	0.4568	0.00002	0.00067	0	0.00118	0.01229	0.00547	0.00003	0.00003	0.86467	0.11739	0.00003	0.00003	0.00003	0.00003	0.00018	0.04619	0.00001	0.95378	0.00001	0.00001	0.00003
Melitaea_cinxiaEUR	Melitaea_cinxiaMAR	0	1	invertebrate	insecta	continental	0.0556	1	2.974	2.94	1.764	2.208	0.301	1.609	-8.662	2.405	0.022125	0.017415	0.01365	0.014898	0.022161	0.017315	0.013537	0.014323	-0.010369	0.801824	-0.020534	0.787941	0.039353	0.023286	0.021465	0.020393	0.389836	0.266935	0.128743	0.03567	0.00617	0.00045	0.00026	0.01408	0.00769	0.36073	0.25744	0.21662	0.07713	0.0007	0.00069	0.01657	0.0058	0.00001	0.00001	0.04626	0.07333	0.00097	0.07091	0.47829	0.30864	0.0016	0.06617	0.00009	0.13974	0.05748	0.0105	0.0005	0.0002	0.56953	0.35393	0.0002	0.00727	0.0002	0.0002	0.00857	0.20866	0.00066	0.78989	0.00069	0.0001	0.00145
Messor_barbarus	Messor_structor	1	1	invertebrate	insecta	continental	1.5	20	1.99	2.53	2.507	2.776	0.035	0.198	-3.876	9.011	0.007009	0.007761	0.010017	0.009233	0.00669	0.007503	0.008264	0.007709	0.349776	0.897652	1.491183	0.802248	0.053969	0.076621	0.045456	0.076508	0.703487	0.183563	0.018538	0.00775	0.00169	0	0	0.00009	0.0006	0.6759	0.06578	0.23487	0.0128	0	0.00001	0.00006	0.00044	0	0	0.0012	0.0052	0.00003	0.00329	0.30991	0.67564	0.00002	0.00592	0	0.00926	0.00231	0.00964	0.00012	0.00012	0.97114	0.01621	0.00012	0.00012	0.00012	0.00012	0.00072	0.0008	0	0.98675	0.01245	0	0.01245
