spA	spB	species_status_NG	popphyl	taxonomy1	taxonomy2	habitat	propagule_size	longevity	sxA_avg	sxA_std	sxB_avg	sxB_std	ss_avg	ss_std	Wald_avg	Wald_std	piA_avg	piA_std	piB_avg	piB_std	thetaA_avg	thetaA_std	thetaB_avg	thetaB_std	DtajA_avg	DtajA_std	DtajB_avg	DtajB_std	divAB_avg	divAB_std	netdivAB_avg	netdivAB_std	FST_avg	FST_std	corr_pi	pSIv1_Mhetero_Nhetero	pSIv2_Mhetero_Nhetero	pIMHomov1_Mhetero_Nhetero	pIMHomov2_Mhetero_Nhetero	pIMHeterov1_Mhetero_Nhetero	pIMHeterov2_Mhetero_Nhetero	pAMHomov1_Mhetero_Nhetero	pAMHomov2_Mhetero_Nhetero	pAMHeterov1_Mhetero_Nhetero	pAMHeterov2_Mhetero_Nhetero	pSCHomov1_Mhetero_Nhetero	pSCHomov2_Mhetero_Nhetero	pSCHeterov1_Mhetero_Nhetero	pSCHeterov2_Mhetero_Nhetero	pPanmixiav1_Mhetero_Nhetero	pPanmixiav2_Mhetero_Nhetero	Pongoing_migration_Mhetero_Nhetero	pSIv1_Mhetero_Nhomo	pIMHomov1_Mhetero_Nhomo	pIMHeterov1_Mhetero_Nhomo	pAMHomov1_Mhetero_Nhomo	pAMHeterov1_Mhetero_Nhomo	pSCHomov1_Mhetero_Nhomo	pSCHeterov1_Mhetero_Nhomo	pPanmixiav1_Mhetero_Nhomo	Pongoing_migration_Mhetero_Nhomo	pSIv1_Mhomo_Nhetero	pSIv2_Mhomo_Nhetero	pIMHomov1_Mhomo_Nhetero	pIMHomov2_Mhomo_Nhetero	pAMHomov1_Mhomo_Nhetero	pAMHomov2_Mhomo_Nhetero	pSCHomov1_Mhomo_Nhetero	pSCHomov2_Mhomo_Nhetero	pPanmixiav1_Mhomo_Nhetero	pPanmixiav2_Mhomo_Nhetero	Pongoing_migration_Mhomo_Nhetero	pSIv1_Mhomo_Nhomo	pIMHomov1_Mhomo_Nhomo	pAMHomov1_Mhomo_Nhomo	pSCHomov1_Mhomo_Nhomo	pPanmixiav1_Mhomo_Nhomo	Pongoing_migration_Mhomo_Nhomo
Abatus_cordatus	Abatus_agassizi	1	1	invertebrate	echinodermata	marine	0.2	NA	0.717	1.026	1.513	2.122	0.037	0.287	-8.303	3.472	0.00381	0.006516	0.007445	0.010987	0.003826	0.006646	0.007517	0.011112	0.033281	0.710388	-0.033201	0.726203	0.0446	0.091612	0.038973	0.092006	0.69686	0.284429	0.193302	0.00236	0.04326	0.00083	0.00067	0.0629	0.04932	0.21477	0.12946	0.18441	0.13583	0.00006	0.00161	0.08821	0.08625	0.00003	0.00003	0.28991	0.00122	0.00051	0.06131	0.5023	0.33857	0.00087	0.09522	0	0.15791	0.00088	0.24517	0.00757	0.02266	0.24138	0.46383	0.00088	0.01588	0.00088	0.00088	0.04875	0.0127	0.00555	0.96917	0.01257	0.00001	0.01813
Abatus_cordatusHTE	Abatus_cordatusHAL	0	1	invertebrate	echinodermata	marine	0.2	NA	1.45	1.333	0.991	1.057	0.586	0.879	-9	0	0.009001	0.008909	0.00774	0.008967	0.008944	0.008282	0.007928	0.009473	-0.098126	0.825527	-0.008844	0.879418	0.009321	0.007244	0.000951	0.002963	0.065795	0.149604	0.190932	0.00699	0.01041	0.29343	0.10099	0.06002	0.05538	0.02494	0.018	0.00543	0.00916	0.23769	0.08218	0.05162	0.0437	0.00005	0.00001	0.92507	0.00653	0.4291	0.1027	0.02535	0.00576	0.34251	0.08745	0.00059	0.96235	0.00132	0.01357	0.38749	0.0716	0.02446	0.01873	0.31536	0.16689	0.00012	0.00045	0.94191	0.0022	0.63631	0.04023	0.32113	0.00012	0.95756
Allolobophora_L2a	Allolobophora_L2bESP	0	1	invertebrate	annelida	continental	0.0238	1.25	4.24	4.841	3.04	3.888	0.455	1.103	-7.033	5.717	0.035243	0.029437	0.02731	0.029181	0.035115	0.028969	0.02696	0.028446	0.010333	0.794642	0.052248	0.869437	0.080504	0.037265	0.049228	0.033348	0.485051	0.259254	0.209879	0.00006	0.00029	0	0.00003	0	0.00056	0.0003	0.71852	0.00079	0.27899	0	0.0001	0.00001	0.00034	0	0	0.00104	0.05592	0.00003	0.00205	0.40711	0.53272	0.0001	0.00207	0	0.00425	0.02982	0.005	0.00006	0.00006	0.05983	0.90498	0.00006	0.00006	0.00006	0.00006	0.00036	0.35997	0.00013	0.63577	0.004	0.00013	0.00426
Allolobophora_L2bESP	Allolobophora_L1	0	1	invertebrate	annelida	continental	0.0238	1.25	2.71	3.569	5.07	5.435	0.542	1.191	-6.892	6.012	0.025785	0.02838	0.043098	0.032044	0.025546	0.027799	0.043401	0.032068	0.035781	0.860537	-0.079911	0.722981	0.088839	0.069224	0.054397	0.067129	0.459488	0.252852	0.239234	0.01057	0.00518	0.00001	0.00003	0.00069	0.00044	0.29175	0.47	0.12809	0.0911	0.00003	0.00027	0.00117	0.00066	0	0	0.0033	0.00589	0.0002	0.02296	0.3504	0.60052	0.00022	0.0198	0	0.04318	0.02869	0.01857	0.00021	0.00021	0.3671	0.5835	0.00021	0.0011	0.00021	0.00021	0.00215	0.00537	0.00001	0.9946	0.00001	0.00001	0.00003
Anas_crecca_Adak	Anas_crecca_Attu	0.5	0	vertebrate	sauropsida	continental	NA	NA	2.5	2.074	2	1.673	9.667	12.307	-9	0	0.008713	0.012036	0.007365	0.009547	0.009923	0.010911	0.00857	0.009378	-0.692861	0.826079	-0.720057	0.59992	0.008102	0.010766	0.000062	0.000156	-0.011542	0.038029	0.996051	0	0.001	0.00016	0.00295	0.00001	0.00038	0	0.00025	0	0.00013	0.00015	0.00263	0.00001	0.00058	0.00138	0.99037	0.99862	0.00029	0.00372	0.00047	0.00028	0.00016	0.00773	0.00083	0.98652	0.99927	0.00005	0.00009	0.00008	0.0021	0.00005	0.00005	0.00007	0.00247	0.00117	0.99388	0.99977	0.00002	0.00005	0.00002	0.00026	0.99965	0.99996
Anas_crecca_Shemya	Anas_crecca_Adak	0.5	0	vertebrate	sauropsida	continental	NA	NA	3.667	1.862	2.167	1.722	10	12.617	-9	0	0.009339	0.012617	0.008712	0.012036	0.012896	0.012892	0.009921	0.010912	-1.352051	0.598918	-0.692861	0.826079	0.0091	0.012202	0.000075	0.000256	-0.007101	0.06885	0.995447	0.00008	0.01868	0.00016	0.03998	0.00006	0.01854	0.00006	0.01335	0.00019	0.01171	0.00011	0.04488	0.00007	0.01633	0.00416	0.83164	0.95593	0.00176	0.00907	0.00151	0.0013	0.00184	0.01026	0.00142	0.97284	0.9951	0.00053	0.00398	0.00053	0.00644	0.00053	0.00376	0.00053	0.76354	0.01191	0.20826	0.99121	0.00029	0.00514	0.00057	0.00383	0.99017	0.99914
Anas_crecca_Shemya	Anas_crecca_Attu	0.5	0	vertebrate	sauropsida	continental	NA	NA	4	2.366	2	1.265	9.667	12.193	-9	0	0.009469	0.012927	0.007623	0.010154	0.012894	0.012892	0.008568	0.009379	-1.337763	0.630472	-0.687386	0.642411	0.008895	0.012267	0.000349	0.000741	-0.070209	0.143405	0.998159	0.00023	0.04126	0.00026	0.17062	0.00022	0.03411	0.00011	0.0443	0.00008	0.05569	0.00081	0.19199	0.00008	0.03283	0.00037	0.42705	0.85834	0.01736	0.06488	0.01362	0.01016	0.0055	0.16612	0.01397	0.70839	0.96698	0.00082	0.04189	0.0034	0.06745	0.00058	0.00058	0.00058	0.81601	0.00469	0.06399	0.95612	0.00875	0.03601	0.00142	0.02618	0.92765	0.98984
Armadillidium_vulgare	Armadillidium_nasatum	1	1	invertebrate	crustacea	continental	0.12	3.42	4.323	5.515	4.398	5.43	0.168	0.463	1.646	12.882	0.01979	0.019433	0.020124	0.018845	0.019475	0.018817	0.020074	0.018553	NA	NA	NA	NA	0.115923	0.090175	0.095966	0.088078	0.711165	0.191813	0.298823	0.01254	0.01527	0	0.00001	0.0002	0.0001	0.33532	0.18486	0.36794	0.08345	0	0.00003	0.00007	0.0002	0	0	0.00061	0.00203	0.00006	0.00998	0.16405	0.81586	0.00002	0.008	0	0.01806	0.00459	0.02303	0.00017	0.00017	0.88281	0.08857	0.00017	0.00017	0.00017	0.00017	0.00102	0.01323	0.00003	0.98669	0.00003	0.00003	0.00009
Armadillidium_vulgareAM	Armadillidium_vulgareEU	0	1	invertebrate	crustacea	continental	0.12	3.42	2.453	3.228	3.107	4.143	2.183	3.241	-8.95	1.016	0.020459	0.019005	0.023684	0.019247	0.020599	0.018829	0.02326	0.018672	-0.077993	0.80074	0.162865	0.959633	0.025945	0.018331	0.003873	0.008917	0.087708	0.165695	0.406127	0.00316	0.00423	0.00921	0.03035	0.25654	0.28767	0.01597	0.02108	0.00512	0.0118	0.00494	0.01531	0.17205	0.16256	0.00001	0.00001	0.93865	0.00215	0.01198	0.5772	0.02639	0.01082	0.00667	0.36478	0.00001	0.96064	0.05312	0.01852	0.17432	0.08469	0.33627	0.16302	0.10462	0.06491	0.00026	0.00026	0.42906	0.03805	0.13347	0.70886	0.1194	0.00022	0.25309
Artemia_franciscana	Artemia_sinica	1	1	invertebrate	crustacea	continental	0.051	4	1.417	1.756	0.642	1.104	0.008	0.088	-6.67	6.511	0.007047	0.008715	0.003433	0.006466	0.006952	0.008366	0.003404	0.006116	0.075911	0.785491	-0.037433	0.586147	0.119187	0.07595	0.113947	0.074915	0.919531	0.086537	0.089966	0.03802	0.07806	0	0.00001	0.00004	0.00058	0.18333	0.14917	0.28439	0.26548	0	0.00001	0.00005	0.00085	0	0	0.00154	0.03292	0.00001	0.00176	0.41215	0.55044	0.00007	0.00265	0	0.00449	0.00497	0.12243	0.00011	0.00011	0.07376	0.79819	0.00011	0.00011	0.00011	0.00011	0.00066	0.16432	0.00018	0.83437	0.00095	0.00018	0.00131
